year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q4,Western Europe,Sweden,Video,69.00%,6.70%,2.80%
2019,Q4,Western Europe,Switzerland,Display,56.00%,5.50%,5.80%
2019,Q4,Western Europe,Switzerland,Mobile in app,48.00%,7.20%,3.60%
2019,Q4,Western Europe,Switzerland,Video,66.00%,8.00%,1.90%
2019,Q4,Western Europe,UK,Display,57.00%,7.50%,2.10%
2019,Q4,Western Europe,UK,Mobile in app,55.00%,15.00%,1.70%
2019,Q4,Western Europe,UK,Video,71.00%,12.70%,1.50%
2020,Q1,Africa,Morocco,Display,50.00%,7.90%,5.00%
2020,Q1,Africa,Morocco,Mobile in app,52.00%,3.80%,1.30%
2020,Q1,Africa,Morocco,Video,67.00%,10.90%,0.30%
2020,Q1,Africa,Nigeria,Display,54.00%,7.90%,3.60%
2020,Q1,Africa,Nigeria,Mobile in app,57.00%,3.80%,3.10%
2020,Q1,Africa,Nigeria,Video,53.00%,10.90%,2.70%
2020,Q1,Africa,South Africa,Display,55.00%,7.90%,3.10%
2020,Q1,Africa,South Africa,Mobile in app,61.00%,3.80%,2.60%
2020,Q1,Africa,South Africa,Video,61.00%,10.90%,3.10%
2020,Q1,APAC,Australia,Display,59.00%,6.10%,2.50%
2020,Q1,APAC,Australia,Mobile in app,63.00%,3.00%,3.00%
2020,Q1,APAC,Australia,Video,65.00%,19.20%,1.10%
2020,Q1,APAC,China,Display,51.00%,6.10%,10.50%
2020,Q1,APAC,China,Mobile in app,75.00%,0.40%,1.60%
2020,Q1,APAC,China,Video,58.00%,9.60%,5.00%
2020,Q1,APAC,Hong Kong,Display,55.00%,6.10%,3.60%
2020,Q1,APAC,Hong Kong,Mobile in app,63.00%,2.20%,2.50%
2020,Q1,APAC,Hong Kong,Video,60.00%,8.20%,5.50%
2020,Q1,APAC,India,Display,53.00%,7.30%,3.00%
2020,Q1,APAC,India,Mobile in app,58.00%,1.00%,0.90%
2020,Q1,APAC,India,Video,74.00%,3.00%,1.10%
2020,Q1,APAC,Indonesia,Display,49.00%,3.20%,3.70%
2020,Q1,APAC,Indonesia,Mobile in app,59.00%,0.80%,1.10%
2020,Q1,APAC,Indonesia,Video,66.00%,8.10%,0.50%
2020,Q1,APAC,Japan,Display,49.00%,6.40%,2.30%
2020,Q1,APAC,Japan,Mobile in app,53.00%,0.90%,1.90%
2020,Q1,APAC,Japan,Video,73.00%,6.70%,1.00%
2020,Q1,APAC,Malaysia,Display,53.00%,8.10%,1.60%
